event,series,ticker,title,yes_bid,yes_ask,last_price,volume,open_interest,status,close_time,pulled_at
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBMGOLDEN0-5,Matthew Golden: 5+ receptions,0.4300,0.4600,0.4400,347.29,332.21,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBCBROOKS30-4,Chris Brooks: 4+ receptions,0.0100,0.1000,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLBROBINSON7-4,Bijan Robinson: 4+ receptions,0.6800,0.6900,0.6900,344.85,344.85,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBMLLOYD32-4,MarShawn Lloyd: 4+ receptions,0.0400,0.0700,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLOZACCHEAUS14-4,Olamide Zaccheaus: 4+ receptions,0.0100,0.0800,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBSMOORE23-4,Skyy Moore: 4+ receptions,0.0100,0.0800,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLJDOTSON4-3,Jahan Dotson: 3+ receptions,0.2900,0.3100,0.2800,36.12,36.12,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBCBROOKS30-5,Chris Brooks: 5+ receptions,0.0100,0.0400,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLKPITTS8-5,Kyle Pitts Sr.: 5+ receptions,0.3400,0.3500,0.3400,19.05,19.05,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLBROBINSON7-5,Bijan Robinson: 5+ receptions,0.5100,0.5300,0.5300,1493.48,1491.51,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLBROBINSON7-11,Bijan Robinson: 11+ receptions,0.0100,0.0400,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLDLONDON5-5,Drake London: 5+ receptions,0.6000,0.6100,0.6200,6536.15,6518.94,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBCWATSON9-6,Christian Watson: 6+ receptions,0.3700,0.3800,0.3800,2781.94,2781.94,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBCWATSON9-7,Christian Watson: 7+ receptions,0.2300,0.2400,0.2400,2290.14,2290.14,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-ATLJDOTSON4-2,Jahan Dotson: 2+ receptions,0.5500,0.5600,0.5600,242.80,242.80,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBMGOLDEN0-6,Matthew Golden: 6+ receptions,0.2500,0.2800,0.2600,112.40,107.40,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBJSMITH18-5,Jonnu Smith: 5+ receptions,0.0100,0.0500,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
KXNFLREC-26SEP24ATLGB,KXNFLREC,KXNFLREC-26SEP24ATLGB-GBSMOORE23-5,Skyy Moore: 5+ receptions,0.0100,0.0400,0.0000,0.00,0.00,active,2026-09-27T00:15:00Z,2026-09-23T20:15:03+00:00
