player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Mike Weber,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khari Blasingame,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Gore,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Herrien,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velus Jones,SEA,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerick McKinnon,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan McDuffie,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Huntley,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devine Redding,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeVante Bellamy,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Ouellette,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Armah,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Bradwell,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Schrader,DEN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajion Neal,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Bargas,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Crossan,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Tau-Tolliver,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Scott,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Boone,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Powell,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Kelly,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassan Hall,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexter Williams,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Collins,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snoop Conner,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Mattison,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathieu Severance,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontae McMillan,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle,PIT,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Calais,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Desrosiers,LAC,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Bell,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Reynolds,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Watts,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Scarlett,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Borghi,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordarrelle Patterson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Chubb,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Dixon,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre Stewart,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Thompson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Battle,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Cox,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Groshek,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Carter,KC,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermar Jefferson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrion Davis-Price,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter,TEN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyheim Miller-Hines,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Edmunds,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soma Vainuku,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,ARI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Colburn,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Sharga,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Williams,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Hairston,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayron Lynch-Adams,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy McNichols,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deneric Prince,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synjyn Days,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Harris,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Carr,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalen Ballage,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerrid Doaks,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Montgomery,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrin Hall,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quali Conley,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gus Johnson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Onta Foreman,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Nigh,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montrell Johnson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Rogers,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Montgomery,NE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Yarns,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trayone Gray,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Ajayi,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Ezeala,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Harris,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Ingram,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Gurley,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetric Felton,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Brown-Dukes,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Benson,ARI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady Russell,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Grant,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benny LeMay,CLE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Adams,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick DiMarco,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
