player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Deebo Samuel,SF,WR,ARI,11.33,,,,,,,,,1.04,5.85,0.06,0.59,3.76,5.39,47.93,0.31,4.79,0.02,,,,,,,
DK Metcalf,PIT,WR,CIN,11.23,,,,,,,,,0.19,0.99,0.01,0.1,3.55,6.79,55.58,0.33,5.56,0.01,,,,,,,
Josh Downs,IND,WR,HOU,11.19,,,,,,,,,0.11,0.32,0.0,0.03,4.36,6.94,51.41,0.27,5.14,0.02,,,,,,,
Matthew Golden,GB,WR,ATL,11.17,,,,,,,,,0.22,0.99,0.01,0.1,3.99,7.17,52.46,0.3,5.25,0.02,,,,,,,
Khalil Shakir,BUF,WR,LAC,10.56,,,,,,,,,0.1,0.43,0.0,0.04,4.45,6.22,50.79,0.16,5.08,0.02,,,,,,,
Xavier Worthy,KC,WR,MIA,10.47,,,,,,,,,1.17,6.61,0.07,0.66,3.21,5.5,42.03,0.33,4.2,0.02,,,,,,,
Rashod Bateman,BAL,WR,DAL,10.44,,,,,,,,,0.06,0.3,0.0,0.03,3.32,5.55,50.46,0.34,5.05,0.01,,,,,,,
Terry McLaurin,WAS,WR,SEA,10.22,,,,,,,,,0.06,0.21,0.0,0.02,3.63,6.34,52.49,0.22,5.25,0.01,,,,,,,
Denzel Boston,CLE,WR,CAR,10.15,,,,,,,,,0.14,0.65,0.01,0.06,3.29,5.26,45.86,0.36,4.59,0.01,,,,,,,
Courtland Sutton,DEN,WR,LAR,10.09,,,,,,,,,,,,,3.38,5.93,48.07,0.32,4.81,0.01,,,,,,,
Malik Washington,MIA,WR,KC,10.08,,,,,,,,,0.97,4.73,0.05,0.47,3.91,6.0,40.48,0.23,4.05,0.02,,,,,,,
Devaughn Vele,NO,WR,LV,10.06,,,,,,,,,0.06,0.23,0.0,0.02,3.83,5.5,42.65,0.32,4.27,0.02,,,,,,,
Emeka Egbuka,TB,WR,MIN,9.67,,,,,,,,,0.27,1.0,0.01,0.1,3.23,6.6,46.58,0.27,4.66,0.01,,,,,,,
Adonai Mitchell,NYJ,WR,DET,9.6,,,,,,,,,0.05,0.19,0.0,0.02,3.3,6.76,48.08,0.24,4.81,0.01,,,,,,,
Stefon Diggs,WAS,WR,SEA,9.58,,,,,,,,,,,,,3.69,5.49,43.81,0.25,4.38,0.01,,,,,,,
KC Concepcion,CLE,WR,CAR,9.58,,,,,,,,,0.72,3.31,0.03,0.33,3.69,5.25,38.75,0.25,3.88,0.02,,,,,,,
Chris Godwin,TB,WR,MIN,9.45,,,,,,,,,0.32,1.47,0.01,0.15,3.6,5.11,40.9,0.26,4.09,0.02,,,,,,,
Michael Pittman,PIT,WR,CIN,9.42,,,,,,,,,0.07,0.44,0.0,0.04,3.69,5.48,44.01,0.21,4.4,0.01,,,,,,,
Romeo Doubs,NE,WR,JAX,9.31,,,,,,,,,,,,,3.27,5.27,47.33,0.22,4.73,0.01,,,,,,,
Dontayvion Wicks,PHI,WR,CHI,9.27,,,,,,,,,0.03,0.16,0.0,0.02,3.19,5.03,43.14,0.29,4.31,0.01,,,,,,,
Luther Burden,CHI,WR,PHI,9.27,,,,,,,,,0.63,2.85,0.01,0.29,3.42,4.91,46.33,0.14,4.63,0.02,,,,,,,
Jordan Addison,MIN,WR,TB,9.19,,,,,,,,,0.3,2.59,0.02,0.26,2.91,5.2,42.06,0.28,4.21,0.01,,,,,,,
Quentin Johnston,LAC,WR,BUF,9.04,,,,,,,,,0.17,0.79,0.01,0.08,2.85,5.66,43.74,0.28,4.37,0.01,,,,,,,
Brian Thomas,JAX,WR,NE,9.02,,,,,,,,,0.21,1.09,0.01,0.11,3.13,5.46,44.2,0.22,4.42,0.01,,,,,,,
Kayshon Boutte,HOU,WR,IND,8.83,,,,,,,,,,,,,2.88,4.93,45.68,0.23,4.57,0.01,,,,,,,
Tre Tucker,LV,WR,NO,8.66,,,,,,,,,0.48,2.03,0.01,0.2,2.95,5.26,39.67,0.24,3.97,0.01,,,,,,,
Mack Hollins,NE,WR,JAX,8.45,,,,,,,,,0.05,0.21,0.0,0.02,3.42,5.25,40.21,0.16,4.02,0.01,,,,,,,
Rashid Shaheed,SEA,WR,WAS,8.41,,,,,,,,,0.7,4.64,0.02,0.46,2.55,4.27,39.01,0.23,3.9,0.01,,,,,,,
Jakobi Meyers,JAX,WR,NE,8.37,,,,,,,,,0.27,1.24,0.01,0.12,3.34,4.94,38.05,0.17,3.8,0.01,,,,,,,
Carnell Tate,TEN,WR,NYG,8.05,,,,,,,,,0.12,0.57,0.0,0.06,3.18,5.54,38.1,0.16,3.81,0.01,,,,,,,
Rome Odunze,CHI,WR,PHI,7.94,,,,,,,,,0.05,0.22,0.0,0.02,2.66,5.32,39.77,0.21,3.98,0.01,,,,,,,
Wan'Dale Robinson,TEN,WR,NYG,7.86,,,,,,,,,0.27,1.47,0.01,0.15,3.32,5.13,35.59,0.13,3.56,0.01,,,,,,,
Xavier Hutchinson,HOU,WR,IND,7.83,,,,,,,,,0.07,0.37,0.0,0.04,2.8,5.24,41.34,0.14,4.13,0.01,,,,,,,
Ryan Flournoy,DAL,WR,BAL,7.78,,,,,,,,,0.18,0.81,0.01,0.08,3.01,4.27,35.26,0.19,3.53,0.01,,,,,,,
Marvin Harrison,ARI,WR,SF,7.52,,,,,,,,,,,,,2.47,5.22,37.85,0.21,3.78,0.01,,,,,,,
Pat Bryant,DEN,WR,LAR,7.34,,,,,,,,,0.09,0.54,0.0,0.05,2.88,4.59,33.24,0.18,3.32,0.01,,,,,,,
Tre' Harris,LAC,WR,BUF,7.33,,,,,,,,,0.12,0.61,0.0,0.06,2.85,4.91,36.02,0.13,3.6,0.01,,,,,,,
DeMario Douglas,NE,WR,JAX,7.29,,,,,,,,,0.35,1.36,0.01,0.14,2.99,4.38,33.89,0.12,3.39,0.02,,,,,,,
Keenan Allen,IND,WR,HOU,7.27,,,,,,,,,,,,,3.18,4.89,32.7,0.14,3.27,0.01,,,,,,,
Keon Coleman,BUF,WR,LAC,7.26,,,,,,,,,0.04,0.17,0.0,0.02,2.56,4.25,35.46,0.19,3.55,0.01,,,,,,,
Cooper Kupp,SEA,WR,WAS,7.25,,,,,,,,,0.07,0.38,0.0,0.04,2.41,3.72,35.11,0.21,3.51,0.01,,,,,,,
Jauan Jennings,MIN,WR,TB,6.95,,,,,,,,,,,,,2.17,3.46,28.06,0.33,2.81,0.01,,,,,,,
Tyquan Thornton,KC,WR,MIA,6.85,,,,,,,,,,,,,2.15,3.46,33.39,0.23,3.34,0.01,,,,,,,
Jalen Nailor,LV,WR,NO,6.5,,,,,,,,,0.24,0.82,0.01,0.08,2.12,3.78,28.97,0.23,2.9,0.01,,,,,,,
Makai Lemon,PHI,WR,CHI,6.35,,,,,,,,,0.26,1.27,0.01,0.13,2.63,3.56,25.8,0.16,2.58,0.01,,,,,,,
