player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Dylan Devezin,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Rounds,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabari Small,DET,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rushel Shell,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ito Smith,DAL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshaun Coprich,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Lindsay,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'Tavius Mathers,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Major,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.D. McKissic,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Jones,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Jones,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Davis,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrynton Evans,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Johnson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travon McMillian,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Davis,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clyde Edwards-Helaire,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacardia Wright,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrius Guice,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lew Nichols,PIT,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandro Platzgummer,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Burton,CLE,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Mueller,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Herbert,ATL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tory Carter,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Bolden,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Holland,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Taylor,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquis Young,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sione Houma,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Beck,NYJ,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Evans,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Wade,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahwan Edwards,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Anderson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Herzog,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emani Bailey,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Quan Gardner,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
John David Moore,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Henry,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalid Abdullah,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
JaQuan Hardy,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jashaun Corbin,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaden Nixon,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Tyler,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Jones,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xazavian Valladay,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Crawford,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audric Estime,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Bouagnon,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javon Leake,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Clark,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Sermon,ATL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Perkins,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasheed Williams,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dion Lewis,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Prentice,DEN,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Jones,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre Strong,GB,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algernon Brown,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
La'Mical Perine,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Cottom,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Riddick,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalif Phillips,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Ferguson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Wilkins,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deshaun Fenwick,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Pare,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demario Richard,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rex Burkhead,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahsul Faison,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Foster,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaMerik Williams,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Sellers,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Johnson,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melvin Gordon,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Scott,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalyn Dawkins,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Randall,BAL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall Milton,CIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvon Ahmed,CHI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Shampklin,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Rose,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le'Veon Bell,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kene Nwangwu,NYJ,RB,DET,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendre Miller,NO,RB,LV,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Guerendo,SF,RB,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,WAS,21.82,,,,,,,,,0.43,2.16,0.01,0.22,6.7,9.31,103.8,0.74,10.38,0.03,,,,,,,
Amon-Ra St. Brown,DET,WR,NYJ,19.37,,,,,,,,,0.29,1.61,0.01,0.16,6.56,9.45,82.43,0.72,8.24,0.03,,,,,,,
Chris Olave,NO,WR,LV,17.86,,,,,,,,,0.05,0.19,0.0,0.02,5.72,8.84,79.69,0.69,7.97,0.02,,,,,,,
CeeDee Lamb,DAL,WR,BAL,17.39,,,,,,,,,0.4,2.02,0.02,0.2,6.05,9.05,84.52,0.43,8.45,0.03,,,,,,,
Zay Flowers,BAL,WR,DAL,17.16,,,,,,,,,0.2,1.28,0.01,0.13,5.16,6.87,85.37,0.54,8.54,0.02,,,,,,,
Ja'Marr Chase,CIN,WR,PIT,16.78,,,,,,,,,0.28,1.03,0.01,0.1,5.78,8.66,74.24,0.57,7.42,0.02,,,,,,,
Justin Jefferson,MIN,WR,TB,16.69,,,,,,,,,0.14,0.49,0.01,0.05,5.76,8.67,77.94,0.51,7.79,0.02,,,,,,,
DeVonta Smith,PHI,WR,CHI,15.72,,,,,,,,,0.05,0.22,0.0,0.02,5.47,7.99,77.2,0.42,7.72,0.02,,,,,,,
Christian Watson,GB,WR,ATL,15.6,,,,,,,,,0.24,1.36,0.01,0.14,3.93,7.24,69.46,0.75,6.95,0.02,,,,,,,
Parker Washington,JAX,WR,NE,15.19,,,,,,,,,0.49,1.37,0.01,0.14,4.98,7.72,73.71,0.44,7.37,0.02,,,,,,,
Garrett Wilson,NYJ,WR,DET,15.12,,,,,,,,,0.39,1.5,0.01,0.15,5.31,8.74,65.35,0.51,6.54,0.02,,,,,,,
George Pickens,DAL,WR,BAL,14.9,,,,,,,,,0.05,0.21,0.0,0.02,5.05,7.66,77.9,0.34,7.79,0.02,,,,,,,
Jalen Coker,CAR,WR,CLE,14.89,,,,,,,,,0.08,0.35,0.0,0.04,5.21,7.22,64.66,0.53,6.47,0.02,,,,,,,
Tetairoa McMillan,CAR,WR,CLE,14.37,,,,,,,,,0.08,0.35,0.0,0.04,4.67,8.87,72.95,0.39,7.3,0.02,,,,,,,
Davante Adams,LAR,WR,DEN,14.28,,,,,,,,,,,,,4.95,10.18,64.14,0.48,6.41,0.02,,,,,,,
Ladd McConkey,LAC,WR,BUF,14.1,,,,,,,,,0.1,0.48,0.0,0.05,4.96,8.15,66.84,0.39,6.68,0.02,,,,,,,
Tee Higgins,CIN,WR,PIT,13.56,,,,,,,,,0.06,0.26,0.0,0.03,4.09,6.8,64.43,0.49,6.44,0.02,,,,,,,
Drake London,ATL,WR,GB,13.5,,,,,,,,,0.06,0.22,0.0,0.02,4.67,7.9,61.99,0.43,6.2,0.02,,,,,,,
Jaylen Waddle,DEN,WR,LAR,13.15,,,,,,,,,0.22,1.19,0.01,0.12,4.61,7.2,63.81,0.33,6.38,0.02,,,,,,,
Mike Evans,SF,WR,ARI,12.57,,,,,,,,,,,,,3.79,6.34,55.4,0.54,5.54,0.02,,,,,,,
Jameson Williams,DET,WR,NYJ,12.53,,,,,,,,,0.61,3.32,0.02,0.33,3.67,6.18,61.45,0.37,6.15,0.02,,,,,,,
Rashee Rice,KC,WR,MIA,12.24,,,,,,,,,0.5,2.13,0.03,0.21,4.21,5.66,50.21,0.44,5.02,0.02,,,,,,,
DJ Moore,BUF,WR,LAC,12.0,,,,,,,,,0.42,2.19,0.02,0.22,3.47,6.21,54.06,0.46,5.41,0.02,,,,,,,
Malik Nabers,NYG,WR,TEN,11.93,,,,,,,,,0.19,0.68,0.01,0.07,4.17,7.17,59.88,0.28,5.99,0.02,,,,,,,
Michael Wilson,ARI,WR,SF,11.83,,,,,,,,,0.05,0.21,0.0,0.02,3.93,6.75,56.23,0.37,5.62,0.02,,,,,,,
