player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Colby Suits,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike White,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Minshew,ARI,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Rattler,NO,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Glennon,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillon Gabriel,CLE,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Miller,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Rivers,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham Mertz,HOU,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Wentz,MIN,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Gilbert,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Bean,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Book,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Siemian,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Blough,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley Neal,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trace McSorley,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Schaub,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalon Daniels,TB,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Appleby,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Allen,BUF,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Morgan,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaidon Salter,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Heneghan,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Bridgewater,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Ridder,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Caldwell,LAR,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Stanley,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Foles,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis Cheek,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh McCown,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Smith,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Stevens,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Mannion,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Kelley,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady Cook,MIA,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Houston,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Coan,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Klubnik,NYJ,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devlin Hodges,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Kilgore,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Uiagalelei,LAC,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Oladokun,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Moussa,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnar Watson,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.J. Walker,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Bercovici,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Blackman,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Barkley,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Mendoza,LV,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ken Seals,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Aune,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Wilson,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Luton,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Simpson,LAR,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
