player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Rasheed Williams,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dion Lewis,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Prentice,DEN,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Jones,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre Strong,GB,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algernon Brown,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
La'Mical Perine,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Cottom,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Riddick,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalif Phillips,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Ferguson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Wilkins,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deshaun Fenwick,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Pare,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demario Richard,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rex Burkhead,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahsul Faison,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Foster,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaMerik Williams,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Sellers,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Johnson,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melvin Gordon,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Scott,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalyn Dawkins,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Randall,BAL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall Milton,CIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
