player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Elijah Mitchell,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Devezin,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Rounds,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabari Small,DET,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rushel Shell,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ito Smith,DAL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshaun Coprich,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Lindsay,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'Tavius Mathers,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Major,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.D. McKissic,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Jones,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Jones,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Davis,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrynton Evans,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Johnson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travon McMillian,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Davis,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clyde Edwards-Helaire,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacardia Wright,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrius Guice,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lew Nichols,PIT,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandro Platzgummer,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Burton,CLE,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Mueller,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Herbert,ATL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tory Carter,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Bolden,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Holland,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Taylor,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquis Young,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sione Houma,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Beck,NYJ,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Evans,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Wade,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahwan Edwards,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Anderson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Herzog,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emani Bailey,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Quan Gardner,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
John David Moore,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Henry,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalid Abdullah,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
JaQuan Hardy,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jashaun Corbin,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaden Nixon,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Tyler,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Jones,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xazavian Valladay,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Crawford,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audric Estime,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Bouagnon,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javon Leake,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Clark,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Sermon,ATL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Perkins,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
