player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Julius Chestnut,TEN,RB,NYG,0.3,,,,,,,,,0.23,1.1,0.01,0.11,0.08,0.11,0.55,0.0,0.06,0.0,,,,,,,
Eli Heidenreich,PIT,RB,CIN,0.26,,,,,,,,,0.21,1.15,0.01,0.12,0.04,0.06,0.42,0.0,0.04,0.0,,,,,,,
Reggie Gilliam,NE,RB,JAX,0.26,,,,,,,,,0.11,0.39,0.0,0.04,0.09,0.13,0.86,0.01,0.09,,,,,,,,
Roschon Johnson,CHI,RB,PHI,0.25,,,,,,,,,0.43,1.52,0.02,0.15,,,,,,0.0,,,,,,,
British Brooks,HOU,RB,IND,0.17,,,,,,,,,0.11,0.49,0.0,0.05,0.05,0.06,0.41,0.0,0.04,,,,,,,,
Patrick Ricard,NYG,FB,TEN,0.13,,,,,,,,,,,,,0.05,0.08,0.54,0.0,0.05,0.0,,,,,,,
Max Bredeson,MIN,RB,TB,0.11,,,,,,,,,0.01,0.04,0.0,0.0,0.05,0.06,0.4,0.0,0.04,0.0,,,,,,,
Kene Nwangwu,NYJ,RB,DET,0.1,,,,,,,,,0.16,0.64,0.0,0.06,0.01,0.01,0.08,0.0,0.01,0.0,,,,,,,
John Robinson-Woodgett,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Jackson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate McCrary,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Turner,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Hagans,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Anderson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelias Sutton,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Olstad,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Montre Tuggle,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyan Drake,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendell Smallwood,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Virgies,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Lovett,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Noel,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny McIntosh,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donovan Edwards,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Huntley,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Edmonds,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Swain,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Jones,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Howard,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pooka Williams,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarvion Franklin,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micah Bernard,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Colletto,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Stokke,CAR,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Harper,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roydell Williams,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damon Bankston,GB,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Bacci,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Warren,DET,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Whittington,HOU,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikey Daniel,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napoleon Maxwell,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zac Brooks,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Mafah,NYG,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Watt,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Washington,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Marable,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Slomka,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Tecza,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Scott,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Mack,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Rountree,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Harden,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmani Marshall,CAR,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalvin Cook,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Pitsenburger,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Zenner,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Cox,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulysses Bentley,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Cook,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonta Freeman,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Smith,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deuce Vaughn,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braylon Heard,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalid Hill,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cullen Gillaspia,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Knox,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jacobs,GB,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Ervin,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric O'Neal,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekhi Sargent,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Gallman,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Washington,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Laird,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Watson,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalin Moore,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Bowser,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Sanders,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
